productId,name,card_number,rarity,card_type,hp,stage,retreat_cost,weakness,resistance,set_name,release_date,printing_type,market_price_usd
107010,Venusaur,015/102,Holo Rare,Grass,100,Stage 2,2,R,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,501.29
107011,Zapdos,016/102,Holo Rare,Lightning,90,Basic,3,,F-30,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,360.0
107011,Zapdos,016/102,Holo Rare,Lightning,90,Basic,3,,F-30,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,185.0
107012,Beedrill,017/102,Rare,Grass,80,Stage 2,0,R,F-30,Base Set (Shadowless),1999-01-09,1st Edition,153.97
107012,Beedrill,017/102,Rare,Grass,80,Stage 2,0,R,F-30,Base Set (Shadowless),1999-01-09,Unlimited,24.91
107013,Dragonair,018/102,Rare,Colorless,80,Stage 1,2,,P-30,Base Set (Shadowless),1999-01-09,1st Edition,183.33
107013,Dragonair,018/102,Rare,Colorless,80,Stage 1,2,,P-30,Base Set (Shadowless),1999-01-09,Unlimited,54.5
107014,Dugtrio,019/102,Rare,Fighting,70,Stage 1,2,G,L-30,Base Set (Shadowless),1999-01-09,1st Edition,138.74
107014,Dugtrio,019/102,Rare,Fighting,70,Stage 1,2,G,L-30,Base Set (Shadowless),1999-01-09,Unlimited,32.73
107015,Electabuzz,020/102,Rare,Lightning,70,Basic,2,F,,Base Set (Shadowless),1999-01-09,1st Edition,145.42
107015,Electabuzz,020/102,Rare,Lightning,70,Basic,2,F,,Base Set (Shadowless),1999-01-09,Unlimited,27.12
107016,Electrode,021/102,Rare,Lightning,80,Stage 1,1,F,,Base Set (Shadowless),1999-01-09,1st Edition,75.23
107016,Electrode,021/102,Rare,Lightning,80,Stage 1,1,F,,Base Set (Shadowless),1999-01-09,Unlimited,26.3
107017,Pidgeotto,022/102,Rare,Colorless,60,Stage 1,1,L,F-30,Base Set (Shadowless),1999-01-09,1st Edition,81.78
107017,Pidgeotto,022/102,Rare,Colorless,60,Stage 1,1,L,F-30,Base Set (Shadowless),1999-01-09,Unlimited,27.21
107018,Arcanine,023/102,Uncommon,Fire,100,Stage 1,3,W,,Base Set (Shadowless),1999-01-09,1st Edition,91.29
107018,Arcanine,023/102,Uncommon,Fire,100,Stage 1,3,W,,Base Set (Shadowless),1999-01-09,Unlimited,44.74
107021,Charmeleon,024/102,Uncommon,Fire,80,Stage 1,1,W,,Base Set (Shadowless),1999-01-09,1st Edition,128.12
107021,Charmeleon,024/102,Uncommon,Fire,80,Stage 1,1,W,,Base Set (Shadowless),1999-01-09,Unlimited,20.17
107022,Dewgong,025/102,Uncommon,Water,80,Stage 1,3,L,,Base Set (Shadowless),1999-01-09,1st Edition,31.65
107022,Dewgong,025/102,Uncommon,Water,80,Stage 1,3,L,,Base Set (Shadowless),1999-01-09,Unlimited,7.95
107023,Dratini,026/102,Uncommon,Colorless,40,Basic,1,,P-30,Base Set (Shadowless),1999-01-09,1st Edition,78.54
107023,Dratini,026/102,Uncommon,Colorless,40,Basic,1,,P-30,Base Set (Shadowless),1999-01-09,Unlimited,13.46
107024,Farfetch'd,027/102,Uncommon,Colorless,50,Basic,1,L,F-30,Base Set (Shadowless),1999-01-09,1st Edition,48.45
107024,Farfetch'd,027/102,Uncommon,Colorless,50,Basic,1,L,F-30,Base Set (Shadowless),1999-01-09,Unlimited,5.91
107025,Growlithe,028/102,Uncommon,Fire,60,Basic,1,W,,Base Set (Shadowless),1999-01-09,1st Edition,67.02
107025,Growlithe,028/102,Uncommon,Fire,60,Basic,1,W,,Base Set (Shadowless),1999-01-09,Unlimited,12.85
107026,Haunter,029/102,Uncommon,Psychic,60,Stage 1,1,,F-30,Base Set (Shadowless),1999-01-09,1st Edition,68.84
107026,Haunter,029/102,Uncommon,Psychic,60,Stage 1,1,,F-30,Base Set (Shadowless),1999-01-09,Unlimited,21.2
107027,Ivysaur,030/102,Uncommon,Grass,60,Stage 1,1,R,,Base Set (Shadowless),1999-01-09,1st Edition,86.67
107027,Ivysaur,030/102,Uncommon,Grass,60,Stage 1,1,R,,Base Set (Shadowless),1999-01-09,Unlimited,18.15
107028,Jynx,031/102,Uncommon,Psychic,70,Basic,2,P,,Base Set (Shadowless),1999-01-09,1st Edition,41.21
107028,Jynx,031/102,Uncommon,Psychic,70,Basic,2,P,,Base Set (Shadowless),1999-01-09,Unlimited,11.81
107029,Kadabra,032/102,Uncommon,Psychic,60,Stage 1,3,P,,Base Set (Shadowless),1999-01-09,1st Edition,86.75
107029,Kadabra,032/102,Uncommon,Psychic,60,Stage 1,3,P,,Base Set (Shadowless),1999-01-09,Unlimited,12.58
107030,Kakuna,033/102,Uncommon,Grass,80,Stage 1,2,R,,Base Set (Shadowless),1999-01-09,1st Edition,20.88
107030,Kakuna,033/102,Uncommon,Grass,80,Stage 1,2,R,,Base Set (Shadowless),1999-01-09,Unlimited,3.07
107031,Machoke,034/102,Uncommon,Fighting,80,Stage 1,3,P,,Base Set (Shadowless),1999-01-09,1st Edition,52.64
107031,Machoke,034/102,Uncommon,Fighting,80,Stage 1,3,P,,Base Set (Shadowless),1999-01-09,Unlimited,4.58
107032,Magikarp,035/102,Uncommon,Water,30,Basic,1,L,,Base Set (Shadowless),1999-01-09,1st Edition,194.75
107032,Magikarp,035/102,Uncommon,Water,30,Basic,1,L,,Base Set (Shadowless),1999-01-09,Unlimited,24.78
107033,Magmar,036/102,Uncommon,Fire,50,Basic,2,W,,Base Set (Shadowless),1999-01-09,1st Edition,34.25
107033,Magmar,036/102,Uncommon,Fire,50,Basic,2,W,,Base Set (Shadowless),1999-01-09,Unlimited,6.73
107034,Nidorino,037/102,Uncommon,Grass,60,Stage 1,1,P,,Base Set (Shadowless),1999-01-09,1st Edition,30.85
107034,Nidorino,037/102,Uncommon,Grass,60,Stage 1,1,P,,Base Set (Shadowless),1999-01-09,Unlimited,8.22
107035,Poliwhirl,038/102,Uncommon,Water,60,Stage 1,1,G,,Base Set (Shadowless),1999-01-09,1st Edition,35.72
107035,Poliwhirl,038/102,Uncommon,Water,60,Stage 1,1,G,,Base Set (Shadowless),1999-01-09,Unlimited,8.89
107036,Porygon,039/102,Uncommon,Colorless,30,Basic,1,F,P-30,Base Set (Shadowless),1999-01-09,1st Edition,32.8
107036,Porygon,039/102,Uncommon,Colorless,30,Basic,1,F,P-30,Base Set (Shadowless),1999-01-09,Unlimited,8.17
107037,Raticate,040/102,Uncommon,Colorless,60,Stage 1,1,F,P-30,Base Set (Shadowless),1999-01-09,1st Edition,24.29
107037,Raticate,040/102,Uncommon,Colorless,60,Stage 1,1,F,P-30,Base Set (Shadowless),1999-01-09,Unlimited,7.34
107038,Seel,041/102,Uncommon,Water,60,Basic,1,L,,Base Set (Shadowless),1999-01-09,1st Edition,24.04
107038,Seel,041/102,Uncommon,Water,60,Basic,1,L,,Base Set (Shadowless),1999-01-09,Unlimited,4.49
107039,Wartortle,042/102,Uncommon,Water,70,Stage 1,1,L,,Base Set (Shadowless),1999-01-09,1st Edition,99.49
107039,Wartortle,042/102,Uncommon,Water,70,Stage 1,1,L,,Base Set (Shadowless),1999-01-09,Unlimited,37.56
107040,Abra,043/102,Common,Psychic,30,Basic,0,P,,Base Set (Shadowless),1999-01-09,1st Edition,43.91
107040,Abra,043/102,Common,Psychic,30,Basic,0,P,,Base Set (Shadowless),1999-01-09,Unlimited,10.76
107041,Bulbasaur,044/102,Common,Grass,40,Basic,1,R,,Base Set (Shadowless),1999-01-09,1st Edition,322.47
107041,Bulbasaur,044/102,Common,Grass,40,Basic,1,R,,Base Set (Shadowless),1999-01-09,Unlimited,20.06
107042,Caterpie,045/102,Common,Grass,40,Basic,1,R,,Base Set (Shadowless),1999-01-09,1st Edition,60.9
107042,Caterpie,045/102,Common,Grass,40,Basic,1,R,,Base Set (Shadowless),1999-01-09,Unlimited,4.39
107043,Charmander,046/102,Common,Fire,50,Basic,1,W,,Base Set (Shadowless),1999-01-09,1st Edition,174.54
107043,Charmander,046/102,Common,Fire,50,Basic,1,W,,Base Set (Shadowless),1999-01-09,Unlimited,11.36
107044,Diglett,047/102,Common,Fighting,30,Basic,,G,L-30,Base Set (Shadowless),1999-01-09,1st Edition,29.63
107044,Diglett,047/102,Common,Fighting,30,Basic,,G,L-30,Base Set (Shadowless),1999-01-09,Unlimited,1.65
107045,Doduo,048/102,Common,Colorless,50,Basic,,L,F-30,Base Set (Shadowless),1999-01-09,1st Edition,22.25
107045,Doduo,048/102,Common,Colorless,50,Basic,,L,F-30,Base Set (Shadowless),1999-01-09,Unlimited,2.35
107046,Drowzee,049/102,Common,Psychic,50,Basic,1,P,,Base Set (Shadowless),1999-01-09,1st Edition,30.7
107046,Drowzee,049/102,Common,Psychic,50,Basic,1,P,,Base Set (Shadowless),1999-01-09,Unlimited,3.31
107047,Gastly,050/102,Common,Psychic,30,Basic,,,F-30,Base Set (Shadowless),1999-01-09,1st Edition,46.59
107047,Gastly,050/102,Common,Psychic,30,Basic,,,F-30,Base Set (Shadowless),1999-01-09,Unlimited,7.14
107048,Koffing,051/102,Common,Grass,50,Basic,1,P,,Base Set (Shadowless),1999-01-09,1st Edition,33.46
107048,Koffing,051/102,Common,Grass,50,Basic,1,P,,Base Set (Shadowless),1999-01-09,Unlimited,7.96
107049,Machop,052/102,Common,Fighting,50,Basic,1,P,,Base Set (Shadowless),1999-01-09,1st Edition,21.12
107049,Machop,052/102,Common,Fighting,50,Basic,1,P,,Base Set (Shadowless),1999-01-09,Unlimited,1.84
107050,Magnemite,053/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,1st Edition,21.64
107050,Magnemite,053/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,Unlimited,3.11
107051,Metapod,054/102,Common,Grass,70,Stage 1,2,R,,Base Set (Shadowless),1999-01-09,1st Edition,27.51
107051,Metapod,054/102,Common,Grass,70,Stage 1,2,R,,Base Set (Shadowless),1999-01-09,Unlimited,4.89
107052,Nidoran M,055/102,Common,Grass,40,Basic,1,P,,Base Set (Shadowless),1999-01-09,1st Edition,27.06
107052,Nidoran M,055/102,Common,Grass,40,Basic,1,P,,Base Set (Shadowless),1999-01-09,Unlimited,2.83
107053,Onix,056/102,Common,Fighting,90,Basic,3,G,,Base Set (Shadowless),1999-01-09,1st Edition,27.19
107053,Onix,056/102,Common,Fighting,90,Basic,3,G,,Base Set (Shadowless),1999-01-09,Unlimited,4.44
107054,Pidgey,057/102,Common,Colorless,40,Basic,1,L,F-30,Base Set (Shadowless),1999-01-09,1st Edition,39.87
107054,Pidgey,057/102,Common,Colorless,40,Basic,1,L,F-30,Base Set (Shadowless),1999-01-09,Unlimited,4.92
107055,Pikachu,058/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,1st Edition,182.04
107055,Pikachu,058/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,Unlimited,47.73
107056,Poliwag,059/102,Common,Water,40,Basic,1,G,,Base Set (Shadowless),1999-01-09,1st Edition,28.81
107056,Poliwag,059/102,Common,Water,40,Basic,1,G,,Base Set (Shadowless),1999-01-09,Unlimited,3.56
107057,Ponyta,060/102,Common,Fire,40,Basic,1,W,,Base Set (Shadowless),1999-01-09,1st Edition,29.57
107057,Ponyta,060/102,Common,Fire,40,Basic,1,W,,Base Set (Shadowless),1999-01-09,Unlimited,2.23
107058,Rattata,061/102,Common,Colorless,30,Basic,,F,P-30,Base Set (Shadowless),1999-01-09,1st Edition,29.12
107058,Rattata,061/102,Common,Colorless,30,Basic,,F,P-30,Base Set (Shadowless),1999-01-09,Unlimited,3.48
107059,Sandshrew,062/102,Common,Fighting,40,Basic,1,G,L-30,Base Set (Shadowless),1999-01-09,1st Edition,34.08
107059,Sandshrew,062/102,Common,Fighting,40,Basic,1,G,L-30,Base Set (Shadowless),1999-01-09,Unlimited,3.34
107060,Squirtle,063/102,Common,Water,40,Basic,1,L,,Base Set (Shadowless),1999-01-09,1st Edition,124.46
107060,Squirtle,063/102,Common,Water,40,Basic,1,L,,Base Set (Shadowless),1999-01-09,Unlimited,35.69
107061,Starmie,064/102,Common,Water,60,Stage 1,1,L,,Base Set (Shadowless),1999-01-09,1st Edition,47.27
107061,Starmie,064/102,Common,Water,60,Stage 1,1,L,,Base Set (Shadowless),1999-01-09,Unlimited,4.91
107062,Staryu,065/102,Common,Water,40,Basic,1,L,,Base Set (Shadowless),1999-01-09,1st Edition,20.51
107062,Staryu,065/102,Common,Water,40,Basic,1,L,,Base Set (Shadowless),1999-01-09,Unlimited,1.62
107063,Tangela,066/102,Common,Grass,50,Basic,2,R,,Base Set (Shadowless),1999-01-09,1st Edition,27.77
107063,Tangela,066/102,Common,Grass,50,Basic,2,R,,Base Set (Shadowless),1999-01-09,Unlimited,3.6
107064,Voltorb,067/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,1st Edition,28.46
107064,Voltorb,067/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,Unlimited,11.75
107065,Vulpix,068/102,Common,Fire,50,Basic,1,W,,Base Set (Shadowless),1999-01-09,1st Edition,37.81
107065,Vulpix,068/102,Common,Fire,50,Basic,1,W,,Base Set (Shadowless),1999-01-09,Unlimited,6.0
107066,Weedle,069/102,Common,Grass,40,Basic,1,R,,Base Set (Shadowless),1999-01-09,1st Edition,55.21
107066,Weedle,069/102,Common,Grass,40,Basic,1,R,,Base Set (Shadowless),1999-01-09,Unlimited,3.35
107067,Clefairy Doll,070/102,Rare,Trainer,10,,,,,Base Set (Shadowless),1999-01-09,1st Edition,76.59
107067,Clefairy Doll,070/102,Rare,Trainer,10,,,,,Base Set (Shadowless),1999-01-09,Unlimited,12.13
147229,Pikachu (Red Cheeks),058/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,1st Edition,429.98
147229,Pikachu (Red Cheeks),058/102,Common,Lightning,40,Basic,1,F,,Base Set (Shadowless),1999-01-09,Unlimited,103.01
704758,Tropius,001/084,Common,Grass,110,Basic,1,Rx2,,ME05: Pitch Black,2026-07-17,Normal,0.04
704758,Tropius,001/084,Common,Grass,110,Basic,1,Rx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.2
704759,Grubbin,002/084,Common,Grass,70,Basic,2,Rx2,,ME05: Pitch Black,2026-07-17,Normal,0.09
704759,Grubbin,002/084,Common,Grass,70,Basic,2,Rx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.15
704760,Fomantis - 003/084,003/084,Common,Grass,70,Basic,1,Rx2,,ME05: Pitch Black,2026-07-17,Normal,0.13
704760,Fomantis - 003/084,003/084,Common,Grass,70,Basic,1,Rx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.19
704761,Lurantis ex - 004/084,004/084,Double Rare,Grass,260,Stage 1,1,Rx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.52
704762,Poltchageist,005/084,Common,Grass,30,Basic,0,Rx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.21
704762,Poltchageist,005/084,Common,Grass,30,Basic,0,Rx2,,ME05: Pitch Black,2026-07-17,Normal,0.15
704763,Sinistcha,006/084,Uncommon,Grass,60,Stage 1,1,Rx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.24
704763,Sinistcha,006/084,Uncommon,Grass,60,Stage 1,1,Rx2,,ME05: Pitch Black,2026-07-17,Normal,0.15
704764,Heatran,007/084,Uncommon,Fire,140,Basic,4,Wx2,,ME05: Pitch Black,2026-07-17,Normal,0.09
704764,Heatran,007/084,Uncommon,Fire,140,Basic,4,Wx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.18
704765,Mega Delphox ex,008/084,Double Rare,Fire,350,Stage 2,2,Wx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.62
704766,Sizzlipede,009/084,Common,Fire,80,Basic,2,Wx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.16
704766,Sizzlipede,009/084,Common,Fire,80,Basic,2,Wx2,,ME05: Pitch Black,2026-07-17,Normal,0.07
704767,Centiskorch,010/084,Common,Fire,140,Stage 1,3,Wx2,,ME05: Pitch Black,2026-07-17,Normal,0.07
704767,Centiskorch,010/084,Common,Fire,140,Stage 1,3,Wx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.19
704768,Charcadet,011/084,Common,Fire,80,Basic,2,Wx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.21
704768,Charcadet,011/084,Common,Fire,80,Basic,2,Wx2,,ME05: Pitch Black,2026-07-17,Normal,0.06
704769,Armarouge - 012/084,012/084,Rare,Fire,140,Stage 1,2,Wx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.16
704769,Armarouge - 012/084,012/084,Rare,Fire,140,Stage 1,2,Wx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.2
704770,Goldeen - 013/084,013/084,Common,Water,70,Basic,1,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.08
704770,Goldeen - 013/084,013/084,Common,Water,70,Basic,1,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.15
704771,Seaking,014/084,Uncommon,Water,110,Stage 1,1,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.08
704771,Seaking,014/084,Uncommon,Water,110,Stage 1,1,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.18
704772,Wailmer,015/084,Common,Water,130,Basic,4,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.19
704772,Wailmer,015/084,Common,Water,130,Basic,4,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.21
704773,Wailord ex - 016/084,016/084,Double Rare,Water,380,Stage 1,4,Lx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.57
704774,Relicanth,017/084,Uncommon,Water,100,Basic,1,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.05
704774,Relicanth,017/084,Uncommon,Water,100,Basic,1,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.13
704775,Popplio,018/084,Common,Water,70,Basic,1,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.2
704775,Popplio,018/084,Common,Water,70,Basic,1,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.13
704776,Brionne,019/084,Common,Water,90,Stage 1,2,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.21
704776,Brionne,019/084,Common,Water,90,Stage 1,2,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.1
704777,Primarina - 020/084,020/084,Rare,Water,150,Stage 2,2,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.28
704777,Primarina - 020/084,020/084,Rare,Water,150,Stage 2,2,Lx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.21
704778,Finizen,021/084,Common,Water,80,Basic,2,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.24
704778,Finizen,021/084,Common,Water,80,Basic,2,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.05
704779,Palafin,022/084,Uncommon,Water,150,Stage 1,2,Lx2,,ME05: Pitch Black,2026-07-17,Normal,0.06
704779,Palafin,022/084,Uncommon,Water,150,Stage 1,2,Lx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.19
704780,Electrike,023/084,Common,Lightning,70,Basic,1,Fx2,,ME05: Pitch Black,2026-07-17,Normal,0.07
704780,Electrike,023/084,Common,Lightning,70,Basic,1,Fx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.14
704781,Manectric - 024/084,024/084,Uncommon,Lightning,120,Stage 1,1,Fx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.18
704781,Manectric - 024/084,024/084,Uncommon,Lightning,120,Stage 1,1,Fx2,,ME05: Pitch Black,2026-07-17,Normal,0.05
704782,Charjabug,025/084,Common,Lightning,100,Stage 1,2,Fx2,,ME05: Pitch Black,2026-07-17,Normal,0.04
704782,Charjabug,025/084,Common,Lightning,100,Stage 1,2,Fx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.15
704783,Vikavolt,026/084,Uncommon,Lightning,160,Stage 2,2,Fx2,,ME05: Pitch Black,2026-07-17,Normal,0.15
704783,Vikavolt,026/084,Uncommon,Lightning,160,Stage 2,2,Fx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.2
704784,Mega Zeraora ex - 027/084,027/084,Double Rare,Lightning,270,Basic,1,Fx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.78
704785,Miraidon,028/084,Rare,Lightning,120,Basic,1,Fx2,,ME05: Pitch Black,2026-07-17,Holofoil,0.21
704785,Miraidon,028/084,Rare,Lightning,120,Basic,1,Fx2,,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.26
704786,Slowpoke,029/084,Common,Psychic,70,Basic,2,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.16
704786,Slowpoke,029/084,Common,Psychic,70,Basic,2,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.26
704787,Slowbro - 030/084,030/084,Uncommon,Psychic,130,Stage 1,3,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.23
704787,Slowbro - 030/084,030/084,Uncommon,Psychic,130,Stage 1,3,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.17
704788,Mega Slowbro ex,031/084,Double Rare,Psychic,330,Stage 1,3,Dx2,F-30,ME05: Pitch Black,2026-07-17,Holofoil,0.84
704789,Jynx,032/084,Common,Psychic,100,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.18
704789,Jynx,032/084,Common,Psychic,100,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.12
704790,Shuppet,033/084,Common,Psychic,50,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.1
704790,Shuppet,033/084,Common,Psychic,50,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.39
704791,Banette,034/084,Uncommon,Psychic,80,Stage 1,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.25
704791,Banette,034/084,Uncommon,Psychic,80,Stage 1,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.11
704792,Spiritomb,035/084,Rare,Psychic,60,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Holofoil,0.18
704792,Spiritomb,035/084,Rare,Psychic,60,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.29
704793,Litwick,036/084,Common,Psychic,70,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.2
704793,Litwick,036/084,Common,Psychic,70,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.21
704794,Lampent,037/084,Uncommon,Psychic,90,Stage 1,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.21
704794,Lampent,037/084,Uncommon,Psychic,90,Stage 1,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.25
704795,Mega Chandelure ex - 038/084,038/084,Double Rare,Psychic,350,Stage 2,2,Dx2,F-30,ME05: Pitch Black,2026-07-17,Holofoil,0.74
704796,Dhelmise - 039/084,039/084,Uncommon,Psychic,140,Basic,3,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.23
704796,Dhelmise - 039/084,039/084,Uncommon,Psychic,140,Basic,3,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.14
704797,Marshadow,040/084,Uncommon,Psychic,90,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.08
704797,Marshadow,040/084,Uncommon,Psychic,90,Basic,1,Dx2,F-30,ME05: Pitch Black,2026-07-17,Reverse Holofoil,0.19
704798,Annihilape,041/084,Uncommon,Psychic,150,Stage 2,2,Dx2,F-30,ME05: Pitch Black,2026-07-17,Normal,0.14
